index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024
24,  ARBOK ,poison,No_type,intimidate,  SHED-SKIN ,unnerve   ,60,95,69,65,79,80,448,False,False,generation-i,NoUsage,0.04876,0.00779,NoUsage,0.04,none
25,pikachu,electric,No_type,static,  NULL ,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,0.15854,0.00831,0.09502,0.1,NoUsage,0.04
25,pikachu-rock-star,  ELECTRIC ,No_type,static,  NULL ,  LIGHTNING-ROD ,35,55,40,50,50,90,320,False,False,generation-i,NULL,NoUsage,no usage,N/A,NoUsage,none
25,  PIKACHU-BELLE ,electric,  NO_TYPE ,static   ,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,no usage,NoUsage,none,   
25,pikachu-pop-star,electric,No_type,static,None,lightning-rod,35,55,40,50,50,90,320,False,False,GERAÇAO-I,NoUsage,NoUsage,NoUsage,zero,NoUsage,NoUsage
25,pikachu-phd,electric,no_type   ,  STATIC ,sem_habilidade,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,none,NULL,NoUsage,NoUsage,NO
25,pikachu-libre,electric,No_type,static,  N/A ,lightning-rod   ,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NULL,NoUsage,NoUsage
25,pikachu-cosplay,electric,No_type,static,   ,lightning-rod,35,55,40,50,50,90,320,False,False,GEN_i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
25,pikachu-original-cap,electric,No_type,  STATIC ,  SEM_HABILIDADE ,  LIGHTNING-ROD ,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NO,NULL,zero,NoUsage,NoUsage
25,pikachu-hoenn-cap,  ELECTRIC ,No_type,static,N/A,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NO
25,pikachu-sinnoh-cap,  ELECTRIC ,  NO_TYPE ,static,NULL,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,   ,NoUsage,NoUsage,NoUsage,NULL,N/A
25,pikachu-unova-cap,electric   ,No_type,static,N/A,lightning-rod,35,55,40,50,50,90,320,False,False,GERAÇAO-I,NoUsage,NoUsage,NoUsage,NoUsage,   ,none
25,  PIKACHU-KALOS-CAP ,electric,  NO_TYPE ,static,  NULL ,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,   ,zero,none,NoUsage
25,pikachu-alola-cap   ,electric,No_type,static   ,sem_habilidade,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,no usage,NoUsage,NoUsage,NoUsage
25,pikachu-partner-cap,  ELECTRIC ,no_type   ,static   ,      ,lightning-rod,35,55,40,50,50,90,320,False,False,generation -   i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,   
25,pikachu-starter   ,electric,No_type,static,none,  LIGHTNING-ROD ,45,80,50,75,60,120,430,False,False,generation-i,NoUsage,NoUsage,no usage,NoUsage,NoUsage,NoUsage
25,pikachu-world-cap   ,electric,No_type,static,no-ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NO,NoUsage,NoUsage,NoUsage,NoUsage
25,  PIKACHU-GMAX ,electric   ,No_type,  STATIC ,n/a   ,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,   ,NoUsage,no usage,NoUsage,NoUsage
26,raichu,electric,No_type,static,      ,lightning-rod   ,60,90,55,90,80,110,485,False,False,generation-i,5.14672,0.23088,0.04308,0.87,NULL,0.09
26,raichu-alola,electric   ,  PSYCHIC ,surge-surfer,sem_habilidade,  NONE  ,60,85,50,95,85,110,485,False,False,generation-i,0.00562,0.0096,0.00836,NoUsage,NO,NoUsage
27,sandshrew   ,ground,no_type   ,sand-veil,none   ,sand-rush,50,75,85,20,30,40,300,False,False,generation-i,0.0,NoUsage,0.0,NO,NoUsage,NoUsage
27,sandshrew-alola   ,ice,steel,snow-cloak   ,No_ability,slush-rush   ,50,75,90,10,35,40,300,False,False,generation-i,0.0,NULL,0.0,NoUsage,NoUsage,NoUsage
28,sandslash,ground   ,  NO_TYPE ,sand-veil,  N/A ,sand-rush,75,100,110,45,55,65,450,False,False,generation-i,0.0,0.00383,0.0,N/A,-,NoUsage
28,  SANDSLASH-ALOLA ,  ICE ,steel,snow-cloak,   ,slush-rush,75,100,120,25,65,65,450,False,False,generation-i,0.0003,0.1416,0.00712,NoUsage,NoUsage,NO
29,nidoranf,poison,No_type,poison-point,rivalry,hustle,55,47,52,40,40,41,275,False,False,generation-i,0.0,NO,NoUsage,NoUsage,NULL,NoUsage
30,  NIDORINA ,poison   ,no_type   ,poison-point   ,rivalry,hustle,70,62,67,55,55,56,365,False,False,generation -   i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
31,nidoqueen,poison,ground,poison-point,rivalry   ,sheer-force   ,90,92,87,75,85,76,505,False,False,generation-i,3e-05,zero,NoUsage,NoUsage,NoUsage,NoUsage
32,nidoranm,poison,No_type,poison-point,rivalry,hustle   ,46,57,40,40,40,50,273,False,False,generation-i,NoUsage,NO,NoUsage,zero,NoUsage,NoUsage
33,nidorino   ,poison,  NO_TYPE ,poison-point,rivalry   ,hustle   ,61,72,57,55,55,65,365,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,zero
34,nidoking   ,poison,ground,poison-point,rivalry,sheer-force   ,81,102,77,85,75,85,505,False,False,generation-i,0.01135,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
35,clefairy   ,fairy,No_type,cute-charm,magic-guard,  FRIEND-GUARD ,70,45,48,60,65,35,323,False,False,generation-i,0.8427,3.27868,0.52346,1.27,2.09,0.45
36,clefable,  FAIRY ,No_type,cute-charm,magic-guard,unaware,95,70,73,95,90,60,483,False,False,generation-i,0.08481,0.14252,0.02832,NO,0.19,3.93
37,vulpix   ,fire,No_type,  FLASH-FIRE ,none,  DROUGHT ,38,41,40,50,65,65,299,False,False,generation-i,-,1e-05,   ,NoUsage,NoUsage,0.05
37,vulpix-alola,ice,no_type   ,snow-cloak   ,None,snow-warning,38,41,40,50,65,65,299,False,False,GEN_i,0.0,0.00027,0.0,NoUsage,no usage,NULL
38,ninetales,fire,No_type,flash-fire,none,drought,73,76,75,81,100,100,505,False,False,generation-i,0.00462,0.89173,0.26427,NoUsage,NoUsage,0.09
38,ninetales-alola,ice,fairy   ,snow-cloak   ,  NULL ,snow-warning,73,67,75,81,100,109,505,False,False,generation-i,0.10998,8.36146,1.41708,0.06,6.03,11.47
39,jigglypuff,  NORMAL ,fairy,cute-charm,competitive   ,friend-guard,115,45,20,45,25,20,270,False,False,generation-i,0.01032,2e-05,0.00064,NoUsage,NoUsage,-
40,wigglytuff,normal,fairy   ,cute-charm,competitive,frisk,140,70,45,85,50,45,435,False,False,generation-i,1e-05,0.01243,0.00096,NoUsage,NoUsage,NoUsage
41,zubat,poison,flying,  INNER-FOCUS ,none,infiltrator,40,45,35,30,40,55,245,False,False,GERAÇAO-I,0.0,NULL,NoUsage,NoUsage,NoUsage,N/A
42,golbat,poison,flying,inner-focus,none   ,infiltrator,75,80,70,65,75,90,455,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
43,oddish,grass   ,  POISON ,chlorophyll,NULL,run-away,45,50,55,75,65,30,320,False,False,GEN_i,0.0,NoUsage,NO,NoUsage,zero,NoUsage
44,gloom,grass,poison,chlorophyll,No_ability,stench,60,65,70,85,75,40,395,False,False,generation -   i,NULL,NoUsage,0.00022,NoUsage,NoUsage,NoUsage
45,vileplume,grass   ,poison,  CHLOROPHYLL ,   ,effect-spore,75,80,85,110,90,50,490,False,False,generation-i,0.0,N/A,0.00475,NULL,NoUsage,NoUsage
46,paras,bug,  GRASS ,effect-spore,dry-skin,damp,35,70,55,45,55,25,285,False,False,generation-i,NoUsage,-,zero,NoUsage,NoUsage,N/A
47,parasect,bug,grass,  EFFECT-SPORE ,dry-skin   ,damp,60,95,80,60,80,30,405,False,False,generation-i,NoUsage,NoUsage,NoUsage,zero,NoUsage,zero
48,venonat   ,  BUG ,poison,  COMPOUND-EYES ,tinted-lens,  RUN-AWAY ,60,55,50,40,55,45,305,False,False,generation-i,NULL,0.0,0.0,NoUsage,NoUsage,zero
49,venomoth,bug,poison,shield-dust,tinted-lens,  WONDER-SKIN ,70,65,60,90,75,90,450,False,False,generation-i,NULL,0.00453,0.00016,NoUsage,NoUsage,NoUsage
50,diglett,ground,No_type,sand-veil,arena-trap   ,sand-force,10,55,25,35,45,95,265,False,False,GERAÇAO-I,0.0,   ,-,   ,-,NoUsage
50,diglett-alola   ,ground,steel,sand-veil,tangling-hair   ,sand-force,10,55,30,35,45,90,265,False,False,generation -   i,NO,0.0,0.0,NoUsage,NoUsage,NoUsage
51,  DUGTRIO ,ground,No_type,sand-veil,  ARENA-TRAP ,  SAND-FORCE ,35,100,50,50,70,120,425,False,False,generation-i,0.02237,0.02947,0.00138,0.08,NoUsage,NoUsage
51,dugtrio-alola,ground,steel,sand-veil,tangling-hair,sand-force,35,100,60,50,70,110,425,False,False,generation-i,-,0.00079,0.0001,NoUsage,NoUsage,NoUsage
52,meowth,normal,No_type,pickup,technician,unnerve   ,40,45,35,40,40,90,290,False,False,generation-i,0.0,   ,none,   ,NoUsage,-
52,meowth-alola,dark,No_type,pickup   ,technician   ,rattled,40,35,35,50,40,90,290,False,False,generation-i,0.0,zero,0.0,no usage,NoUsage,   
52,meowth-galar   ,steel,No_type,pickup,tough-claws,unnerve,50,65,55,40,40,40,290,False,False,generation-i,NULL,0.0,0.0,no usage,NoUsage,NoUsage
52,meowth-gmax   ,normal,  NO_TYPE ,pickup   ,  TECHNICIAN ,  UNNERVE ,40,45,35,40,40,90,290,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,none,NoUsage
53,persian,normal,No_type,limber,technician,unnerve   ,65,70,60,65,65,115,440,False,False,GEN_i,NULL,0.01124,0.00063,NoUsage,NoUsage,NoUsage
53,persian-alola   ,dark,No_type,  FUR-COAT ,technician,rattled,65,60,60,75,65,115,440,False,False,generation-i,0.3081,0.14897,0.0209,0.23,0.04,NoUsage
54,  PSYDUCK ,water,No_type,damp,cloud-nine   ,  SWIFT-SWIM ,50,52,48,65,50,55,320,False,False,generation-i,0.0,NoUsage,1e-05,zero,NoUsage,NoUsage
55,golduck,  WATER ,No_type,damp   ,cloud-nine,swift-swim,80,82,78,95,80,85,500,False,False,generation-i,0.01611,0.02501,0.01269,NoUsage,NoUsage,NULL
56,mankey,fighting,  NO_TYPE ,vital-spirit,  ANGER-POINT ,defiant,40,80,35,35,45,70,305,False,False,GERAÇAO-I,NoUsage,NO,N/A,NoUsage,NoUsage,NoUsage
57,primeape,fighting   ,No_type,vital-spirit,anger-point,defiant,65,105,60,60,70,95,455,False,False,generation-i,NoUsage,0.00163,0.00747,NoUsage,NoUsage,0.05
58,growlithe,fire,No_type,  INTIMIDATE ,flash-fire,justified,55,70,45,70,50,60,350,False,False,GERAÇAO-I,0.0,0.0,0.0,none,NoUsage,NoUsage
58,growlithe-hisui,fire,  ROCK ,  INTIMIDATE ,flash-fire   ,rock-head,60,75,45,65,50,55,350,False,False,generation-i,NoUsage,0.0,   ,NoUsage,NoUsage,NoUsage
59,arcanine   ,fire,No_type,intimidate   ,flash-fire,  JUSTIFIED ,90,110,80,100,80,95,555,False,False,generation-i,0.26863,21.3707,0.10139,0.06,0.17,0.31
59,arcanine-hisui,fire,rock,intimidate,  FLASH-FIRE ,rock-head,95,115,80,95,80,90,555,False,False,generation-i,NoUsage,3.89183,3.26922,NoUsage,15.75,1.3
60,poliwag,water,No_type,water-absorb,damp   ,  SWIFT-SWIM ,40,50,40,40,40,90,300,False,False,generation-i,0.0,none,zero,zero,NoUsage,NoUsage
61,poliwhirl,water,No_type,water-absorb,damp,  SWIFT-SWIM ,65,65,65,50,50,90,385,False,False,generation-i,zero,0.0,1e-05,NoUsage,NoUsage,NoUsage
62,poliwrath,water,fighting,water-absorb,damp,  SWIFT-SWIM ,90,95,95,70,90,70,510,False,False,generation-i,0.00276,0.03525,0.00365,NoUsage,NoUsage,0.04
63,  ABRA ,psychic,No_type,synchronize,  INNER-FOCUS ,  MAGIC-GUARD ,25,20,15,105,55,90,310,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,   
64,kadabra,psychic,No_type,synchronize,inner-focus,magic-guard   ,40,35,30,120,70,105,400,False,False,generation-i,0.0,no usage,NoUsage,NoUsage,NoUsage,NoUsage
65,alakazam,psychic,  NO_TYPE ,synchronize,inner-focus,magic-guard   ,55,50,45,135,95,120,500,False,False,generation-i,0.00749,N/A,zero,NoUsage,NoUsage,NoUsage
65,alakazam-mega,psychic,No_type,trace,      ,None ,55,50,65,175,105,150,600,False,False,generation-i,NoUsage,NoUsage,NoUsage,no usage,NoUsage,NoUsage
66,machop,fighting,No_type,  GUTS ,no-guard   ,steadfast,70,80,50,35,35,35,305,False,False,GEN_i,NO,NoUsage,NoUsage,NoUsage,NO,NoUsage
67,machoke,fighting,No_type,guts,no-guard,steadfast,80,100,70,50,60,45,405,False,False,generation-i,0.0,   ,N/A,NoUsage,N/A,NO
68,machamp,  FIGHTING ,No_type,guts,no-guard,  STEADFAST ,90,130,80,65,85,55,505,False,False,generation -   i,0.00738,NoUsage,NoUsage,NoUsage,NoUsage,NULL
68,machamp-gmax,fighting,No_type,guts   ,  NO-GUARD ,  STEADFAST ,90,130,80,65,85,55,505,False,False,generation-i,NoUsage,-,N/A,NoUsage,NULL,NoUsage
69,  BELLSPROUT ,grass,poison,  CHLOROPHYLL ,  NO-ABILITY ,  GLUTTONY ,50,75,35,70,30,40,300,False,False,generation-i,N/A,0.0,0.0,-,-,NoUsage
70,weepinbell,grass,poison   ,chlorophyll,None,gluttony,65,90,50,85,45,55,390,False,False,generation-i,NoUsage,0.0,0.0,NULL,NoUsage,NoUsage
71,victreebel,grass,poison,chlorophyll,no-ability,gluttony,80,105,65,100,70,70,490,False,False,generation-i,NoUsage,0.02946,0.00202,   ,   ,none
72,tentacool,water,  POISON ,clear-body,liquid-ooze,rain-dish,40,40,35,50,100,70,335,False,False,generation-i,0.0,no usage,0.0,NoUsage,NoUsage,NoUsage
73,tentacruel   ,water,poison   ,clear-body   ,liquid-ooze,  RAIN-DISH ,80,70,65,80,120,100,515,False,False,GERAÇAO-I,1e-05,NoUsage,0.00485,NoUsage,zero,NoUsage
74,geodude,rock,ground,  ROCK-HEAD ,sturdy,sand-veil,40,80,100,30,30,20,300,False,False,generation-i,NoUsage,NULL,0.0,NoUsage,NoUsage,NoUsage
74,geodude-alola,  ROCK ,electric,  MAGNET-PULL ,  STURDY ,galvanize,40,80,100,30,30,20,300,False,False,generation-i,NoUsage,0.0,none,NoUsage,no usage,NoUsage
75,graveler,rock,ground,rock-head,sturdy,sand-veil,55,95,115,45,45,35,390,False,False,generation-i,zero,0.0,0.0,zero,NO,NoUsage
75,graveler-alola   ,rock,electric,magnet-pull,sturdy,galvanize,55,95,115,45,45,35,390,False,False,GERAÇAO-I,NoUsage,0.00017,N/A,NULL,NoUsage,NO
76,golem   ,  ROCK ,ground,rock-head,sturdy,sand-veil,80,120,130,55,65,45,495,False,False,generation-i,NoUsage,0.02096,0.00182,NoUsage,NoUsage,NoUsage
76,golem-alola,rock,  ELECTRIC ,magnet-pull,sturdy,  GALVANIZE ,80,120,130,55,65,45,495,False,False,generation-i,N/A,0.11525,0.05107,NoUsage,NoUsage,0.04
77,  PONYTA ,fire,  NO_TYPE ,run-away,flash-fire,flame-body,50,85,55,65,65,90,410,False,False,generation -   i,0.0,NoUsage,NULL,NoUsage,NoUsage,-
77,ponyta-galar,psychic,No_type,run-away,pastel-veil,anticipation,50,85,55,65,65,90,410,False,False,generation-i,0.0,NoUsage,NoUsage,N/A,NULL,zero
78,rapidash,fire,No_type,run-away,flash-fire,flame-body,65,100,70,80,80,105,500,False,False,generation-i,0.0,NoUsage,no usage,NoUsage,zero,NoUsage
78,rapidash-galar,psychic,fairy,run-away,pastel-veil,anticipation,65,100,70,80,80,105,500,False,False,generation-i,-,NoUsage,NoUsage,NULL,NoUsage,zero
79,slowpoke,water,psychic,oblivious,own-tempo,  REGENERATOR ,90,65,65,40,40,15,315,False,False,generation-i,0.0,0.02128,0.0022,NoUsage,NoUsage,NoUsage
79,slowpoke-galar,psychic,No_type,gluttony,own-tempo   ,regenerator,90,65,65,40,40,15,315,False,False,GEN_i,0.0,2e-05,0.0,zero,0.04,NoUsage
80,slowbro,water,psychic   ,oblivious,  OWN-TEMPO ,regenerator,95,75,110,100,80,30,490,False,False,GEN_i,0.02799,0.05157,0.02571,2.55,NoUsage,0.05
80,slowbro-mega,water,psychic,shell-armor,sem_habilidade,None ,95,75,180,130,80,30,590,False,False,generation-i,NoUsage,NULL,NoUsage,NoUsage,NoUsage,NO
80,slowbro-galar,poison   ,psychic,quick-draw,own-tempo,regenerator,95,100,95,100,70,30,490,False,False,GEN_i,0.00542,0.03762,0.01184,no usage,-,0.05
81,magnemite,electric   ,steel,  MAGNET-PULL ,sturdy,analytic,25,35,70,95,55,45,325,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage
82,magneton,electric,  STEEL ,  MAGNET-PULL ,sturdy,analytic,50,60,95,120,70,70,465,False,False,generation-i,no usage,0.00409,0.00042,NO,NoUsage,NoUsage
83,farfetchd   ,  NORMAL ,flying,  KEEN-EYE ,inner-focus   ,defiant,52,90,55,58,62,60,377,False,False,generation-i,NoUsage,N/A,NoUsage,NoUsage,NoUsage,N/A
83,farfetchd-galar,fighting,no_type   ,steadfast   ,No_ability,scrappy,52,95,55,58,62,55,377,False,False,generation-i,NoUsage,zero,NoUsage,zero,NoUsage,NoUsage
84,doduo,normal   ,flying,run-away,early-bird,tangled-feet,35,85,45,35,35,75,310,False,False,generation-i,NoUsage,NoUsage,zero,NULL,zero,NoUsage
85,dodrio,normal,flying,run-away,early-bird   ,  TANGLED-FEET ,60,110,70,60,60,110,470,False,False,generation -   i,none,NoUsage,0.00376,NoUsage,NoUsage,-
86,seel,water,No_type,thick-fat,hydration   ,ice-body,65,45,55,45,70,45,325,False,False,generation -   i,-,NoUsage,none,NULL,N/A,NULL
87,dewgong,water   ,ice,thick-fat,hydration   ,ice-body,90,70,80,70,95,70,475,False,False,generation-i,   ,NoUsage,0.02417,NoUsage,NoUsage,no usage
88,grimer,poison,no_type   ,stench,sticky-hold,poison-touch,80,80,50,40,50,25,325,False,False,generation-i,NoUsage,N/A,0.0,NoUsage,NoUsage,-
88,grimer-alola,poison,dark,poison-touch,gluttony,power-of-alchemy,80,80,50,40,50,25,325,False,False,generation-i,NoUsage,NULL,0.0,NoUsage,NoUsage,NoUsage
89,muk,  POISON ,No_type,stench,  STICKY-HOLD ,poison-touch,105,105,75,65,100,50,500,False,False,generation -   i,NoUsage,0.00064,0.00015,NoUsage,NoUsage,NoUsage
89,muk-alola,  POISON ,dark,poison-touch,gluttony,power-of-alchemy,105,105,75,65,100,50,500,False,False,generation-i,NoUsage,0.25071,0.75696,none,0.06,0.05
90,shellder,water,  NO_TYPE ,shell-armor,skill-link,overcoat,30,65,100,45,25,40,305,False,False,generation-i,NO,0.0,0.0,NoUsage,NoUsage,NoUsage
91,cloyster   ,water,ice,shell-armor,skill-link,overcoat,50,95,180,85,45,70,525,False,False,generation-i,0.00468,0.0565,0.00195,NO,NoUsage,NoUsage
92,gastly,ghost,poison,levitate,N/A,None ,30,35,30,100,35,80,310,False,False,generation-i,0.0,NO,   ,zero,zero,-
93,haunter,ghost,  POISON ,levitate,N/A,  NONE  ,45,50,45,115,55,95,405,False,False,generation-i,none,   ,1e-05,-,NoUsage,none
94,gengar,ghost   ,poison,cursed-body   ,None,None ,60,65,60,130,75,110,500,False,False,generation-i,0.04475,0.0,0.03635,zero,0.06,0.25
94,gengar-mega,ghost,poison,shadow-tag,None,None ,60,65,80,170,95,130,600,False,False,generation-i,NoUsage,-,NoUsage,no usage,zero,NO
94,gengar-gmax,ghost,poison,cursed-body,no-ability,None ,60,65,60,130,75,110,500,False,False,GERAÇAO-I,NoUsage,NoUsage,NoUsage,NoUsage,no usage,-
95,onix,  ROCK ,ground,rock-head,sturdy,weak-armor,35,45,160,30,45,70,385,False,False,generation-i,0.0,NoUsage,NO,NoUsage,NoUsage,NoUsage
96,drowzee,psychic,No_type,insomnia   ,  FOREWARN ,inner-focus   ,60,48,45,43,90,42,328,False,False,generation-i,NULL,0.0,0.0,NoUsage,zero,zero
